,,,,,,CHALLONGE BRACKET
Entrant #,Discord,Name,Version,Setup,,Bracket
1,HonorNite#3819,HonorNite,Falzar,HonorNite,,
2,Desmond#1161,Desmond,Gregar,Desmond,,PLAYER SCHEDULES
3,Master#0728,Master,Falzar,Master,,Link
4,Neryth#3411,Neryth,Falzar,Neryth,,
5,DrugsAreBad#7806,DrugsAreBad,Falzar,DrugsAreBad,,START DATE
6,BlueStar #1988,BlueStar,Gregar,BlueStar,,Mon Sep 06 2021 09:00:00 GMT+0200 (Central European Summer Time)
7,WaziNite | The Moogle Cartel#1156,Wazi,Gregar,Wazi,,
8,SoulXCross#5658,SoulXCross,Gregar,SoulXCross,,END DATE
9,playerzero#2208,playerzero,Falzar,playerzero,,Mon Sep 20 2021 09:00:00 GMT+0200 (Central European Summer Time)
10,Saito#6125,Netbattler S,Falzar,Netbattler S,,
11,Korota#5855,Korota,Falzar,Korota,,AND REMEMBER:
12,Alrysc#7506,Alrysc,Gregar,Alrysc,,CellImage
13,M-Den #1296,M-Den,Falzar,M-Den,,
14,Rocku#1556,Rocku,Falzar,Rocku,,
15,Symes#7142,Symes,Gregar,Symes,,
16,ShironaNepSP#3074,ShironaNep,Gregar,ShironaNep,,
17,LIZARDLAB#7541,lizardlab,Gregar,lizardlab,,
18,fireboltbro#9219,FIREBOLTBRO,Gregar,FIREBOLTBRO,,
19,NONSTOPMOP#1668,Nonstopmop,Falzar,Nonstopmop,,
20,EasyA#9687,EasyA,Gregar,EasyA,,
21,WeenieWhistle#0001,WeenieWhistle,Gregar,WeenieWhistle,,
22,Thiago#6352,Thiago,Gregar,Thiago,,
23,Ghiaccio_98#4810,Ghiaccio,Gregar,Ghiaccio,,
24,,,,,,
25,,,,,,