pablo,,,,,
pppablo#6818,,,,Gregar,
FOLDER,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
1,Uninstll,G,,BugStop,image
1,GrndManSP,G,,Rush,AttckMAX
2,Recov300,O,,SuprArmr,ChargMAX
1,GrabRvng,Q,,AirShoes,HP+300
1,Barr200,U,,Custom2,
1,Snctuary,Z,,,
1,FlshBom1,*,,,
1,MachGun1,*,[TAG],,
2,WindRack,*,[REG],,
3,AreaGrab,*,,,
2,Geddon,*,,,
1,FullCust,*,,,
2,FstGauge,*,[TAG],,
1,LifeAur,U,,CellImage,
1,ColForce,Q,,,
1,EraseMan,*,,,
1,GrndMan,*,,,
3,Invisibl,*,,,
1,ElmntMan,*,,,
1,JudgeMan,*,,,
2,GunDelS3,Q,,,