,#REF!,,,a4average,,,Passbyword,,,ChinaTV,,,osiahene,,,Alpha,,,Soup,,,Kamizo Origami,,,playerzero,,,LordEgil,,,Darkgaia,,,Rockin,,,#REF!,,,,,
#REF!,,,,2,-,0,2,-,0,2,-,0,2,-,0,2,-,1,2,-,1,1,-,2,2,-,0,2,-,1,0,-,2,2,-,0,2,-,0,0,-,2
a4average,,,,,,,1,-,2,2,-,0,2,-,1,,-,,1,-,2,1,-,2,2,-,0,,-,,0,-,2,,-,,,-,,0,-,2
Passbyword,,,,,,,,,,2,-,1,2,-,1,2,-,0,2,-,0,0,-,2,2,-,1,2,-,1,0,-,2,2,-,0,2,-,0,0,-,2
ChinaTV,,,,,,,,,,,,,1,-,2,0,-,2,0,-,2,0,-,2,0,-,2,,-,,0,-,2,,-,,,-,,0,-,2
osiahene,,,,,,,,,,,,,,,,,-,,1,-,2,0,-,2,,-,,2,-,1,0,-,2,,-,,,-,,,-,
Alpha,,,,,,,,,,,,,,,,,,,2,-,1,2,-,1,1,-,2,,-,,0,-,2,,-,,2,-,1,,-,
Soup,,,,,,,,,,,,,,,,,,,,,,1,-,2,2,-,1,2,-,0,0,-,2,,-,,,-,,2,-,0
Kamizo Origami,,,,,,,,,,,,,,,,,,,,,,,,,2,-,0,2,-,0,1,-,2,2,-,1,2,-,0,2,-,0
playerzero,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,1,1,-,2,2,-,0,,-,,0,-,2
LordEgil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,2,0,-,2,,-,,,-,
Darkgaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,0,2,-,0,,-,
Rockin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,0,-,2
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,