,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,How To Read:,,,,,,
a4average,C,C,C,C,C,,,,LETTERS:,,,,,,
Passbyword,,,,,,,,,"A,B,C,D,E,F,G,H",=,Indicates presence at standard meetup times.,,,,
ChinaTV,C,C,C,C,C,C,C,,A,=,6 AM PST,,G,=,12 AM PST
osiahene,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,B,=,9 AM PST,,H,=,3 AM PST
Alpha,C D E,C D E F,C D E F,C E F,C D E F,C D E F,,,C,=,12 PM PST,,,,
Soup,E F,E F,E F,E F,E F,D E F,D E F,,D,=,3 PM PST,,,,
Kamizo Origami,A B C F G,A B C F G,A B C F G,A B C F G,A B C F G,A B C F G,A B C F G,,E,=,6 PM PST,,,,
playerzero,A B C,C,C,C,C,A B C,A B C,,F,=,9 PM PST,,,,
LordEgil,,,,,,D E F G,,,,,,,,,
Darkgaia,C D E F,,,,,,B F,,,=,Notes contain detailed hours or conditions.,,,,
Rockin,A B C D E,A B C D E,B C D,B C D,A B C D E,A B C D E,B C D E,,COLOR CODES:,,,,,,
Rocku,D E,D E,D E,D E,,A C,,,,=,Mostly Available,,,,
Not3rdPerson,,,,,,,,,,=,Somewhat Available,,,,
Mr.President,,D E,D E,D E,D E,C D E,,,,=,Unavailable,,,,
Soren,E F,E F,E F,E F,E F,A B C D E F,A B C D E F,,,,,,,,
HonorNite,,,,B C D E F,B C D E F,B C D E F,,,TIME ZONE CONVERTER,,,,,,
Makuto,B C D E F,B C D ,B C D E F,B C D,B C D E F,D E F,D E F,,link,,,,,,
Thiago,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,,,,,,,
Symes,B C D E F,E F,E F,B C D E F,B C D E F,B C D E F,B C D E F,,,,,,,,
davidvvv,G,E F G,G,E F G,G,G,G,,,,,,,,
hunter,,,,,,,,,,,,,,,
Salad,C D E,C D E,C D E,C D E,C D E,C D E,C D E,,,,,,,,
Neryth,D E F,D E F,D E F,D E F,E F,E F,E F,,,,,,,,