EasyA,,,,,,,,,
EasyA#9687,,,,,,Gregar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
2,BblStar2,C,,SuprArmr,Link to URL,1,AntiDmg,*,
2,DolThdr2,C,,Beat,AttackMAX,1,BugFix,*,
1,HolyPanl,*,,Rush,ChargMAX,1,PnlRetrn,*,
1,FullCust,*,,UnderSht,Speed+1,1,BblWrap,Z,
1,AntiDmg,*,,Custom1,Speed+1 ,1,MachGun1,*,
2,WhiCapsl,*,,Custom1,HP+400,1,TenguMan,*,
1,WindRack,*,Reg,Bugstop,,,,,
1,ElmntMan,*,,,,,,,
1,VDoll,*,,,,,,,
1,CrcusMnSP,C,,,,,,,
1,ElemTrap,*,,,,,,,
1,LifeAur,U,,,,,,,
1,RskyHny2,C,,,,,,,
2,AreaGrab,*,,,,,,,
1,GrabRvng,Z,,,,,,,
2,Invisibl,*,,,,,,,
1,AntiNavi,*,,CellImage,,,,,
1,Atk+30,*,,,,,,,
1,ColonelSP,C,,,,,,,
2,Recov300,O,,,,,,,
1,JudgeMan,*,,,,,,,
1,EraseMan,*,,,,,,,
1,DeltaRay,Z,,,,,,,
1,Snctuary,Z,,,,,,,